# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl
XLabel=$y_{j_3}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_3}^{incl}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/jet3_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.514113e-03	1.375825e-04	2.375805e-04
-4.400000e+00	-4.200000e+00	6.819320e-03	2.026400e-04	6.627950e-04
-4.200000e+00	-4.000000e+00	9.303465e-03	5.718500e-04	1.029400e-04
-4.000000e+00	-3.800000e+00	1.154819e-02	9.084050e-04	1.499670e-03
-3.800000e+00	-3.600000e+00	1.412902e-02	9.608100e-04	4.887650e-04
-3.600000e+00	-3.400000e+00	1.584366e-02	5.766250e-04	1.251535e-03
-3.400000e+00	-3.200000e+00	1.736107e-02	6.860400e-04	1.086905e-03
-3.200000e+00	-3.000000e+00	1.848946e-02	1.093020e-03	7.083600e-04
-3.000000e+00	-2.800000e+00	1.883548e-02	1.062100e-04	1.259425e-03
-2.800000e+00	-2.600000e+00	1.888293e-02	1.218665e-03	5.949200e-04
-2.600000e+00	-2.400000e+00	1.798379e-02	1.159055e-03	9.765350e-04
-2.400000e+00	-2.200000e+00	1.748564e-02	1.528985e-03	1.310880e-03
-2.200000e+00	-2.000000e+00	1.687051e-02	2.473915e-03	0.000000e+00
-2.000000e+00	-1.800000e+00	1.400016e-02	1.355450e-04	5.693050e-04
-1.800000e+00	-1.600000e+00	1.176516e-02	0.000000e+00	1.598770e-03
-1.600000e+00	-1.400000e+00	1.024145e-02	1.051450e-04	1.413210e-03
-1.400000e+00	-1.200000e+00	9.477760e-03	5.600000e-04	1.319600e-04
-1.200000e+00	-1.000000e+00	8.308220e-03	8.225150e-04	8.251500e-05
-1.000000e+00	-8.000000e-01	7.354185e-03	5.965900e-04	0.000000e+00
-8.000000e-01	-6.000000e-01	5.965380e-03	0.000000e+00	6.989150e-04
-6.000000e-01	-4.000000e-01	6.401255e-03	2.240246e-03	0.000000e+00
-4.000000e-01	-2.000000e-01	4.938197e-03	3.198845e-04	0.000000e+00
-2.000000e-01	0.000000e+00	4.421971e-03	4.575265e-04	4.250000e-05
0.000000e+00	2.000000e-01	4.682130e-03	2.156465e-04	0.000000e+00
2.000000e-01	4.000000e-01	5.038405e-03	4.411140e-04	0.000000e+00
4.000000e-01	6.000000e-01	4.996378e-03	0.000000e+00	8.139125e-04
6.000000e-01	8.000000e-01	6.228145e-03	5.983500e-05	4.064900e-04
8.000000e-01	1.000000e+00	8.990175e-03	2.057970e-03	0.000000e+00
1.000000e+00	1.200000e+00	8.491290e-03	2.108500e-04	0.000000e+00
1.200000e+00	1.400000e+00	8.986010e-03	0.000000e+00	9.097900e-04
1.400000e+00	1.600000e+00	1.049868e-02	0.000000e+00	1.032090e-03
1.600000e+00	1.800000e+00	1.246590e-02	7.131600e-04	4.789450e-04
1.800000e+00	2.000000e+00	1.357706e-02	7.701900e-04	8.700500e-04
2.000000e+00	2.200000e+00	1.519679e-02	5.839450e-04	3.282350e-04
2.200000e+00	2.400000e+00	1.718098e-02	3.385930e-03	1.220730e-03
2.400000e+00	2.600000e+00	1.793785e-02	5.314550e-04	8.613450e-04
2.600000e+00	2.800000e+00	1.802497e-02	3.416950e-04	1.847360e-03
2.800000e+00	3.000000e+00	1.928847e-02	1.901960e-03	3.467600e-04
3.000000e+00	3.200000e+00	1.795952e-02	5.930200e-04	9.448250e-04
3.200000e+00	3.400000e+00	1.724208e-02	1.477055e-03	1.201050e-03
3.400000e+00	3.600000e+00	1.669459e-02	1.884130e-03	5.834050e-04
3.600000e+00	3.800000e+00	1.446591e-02	1.377440e-03	2.678500e-04
3.800000e+00	4.000000e+00	1.199308e-02	2.089990e-03	4.395200e-04
4.000000e+00	4.200000e+00	9.305245e-03	8.386950e-04	0.000000e+00
4.200000e+00	4.400000e+00	6.989165e-03	6.828700e-04	0.000000e+00
4.400000e+00	4.600000e+00	2.798928e-03	3.512670e-04	1.291320e-04
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet3_y_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.117136e-03	4.108000e-06	9.515985e-04
-4.400000e+00	-4.200000e+00	6.644235e-03	8.730150e-04	1.052415e-03
-4.200000e+00	-4.000000e+00	9.164890e-03	1.579095e-03	1.073405e-03
-4.000000e+00	-3.800000e+00	1.125554e-02	1.322850e-03	1.873405e-03
-3.800000e+00	-3.600000e+00	1.361237e-02	1.760775e-03	2.307180e-03
-3.600000e+00	-3.400000e+00	1.570420e-02	2.013760e-03	2.729175e-03
-3.400000e+00	-3.200000e+00	1.704605e-02	2.069370e-03	2.523915e-03
-3.200000e+00	-3.000000e+00	1.775677e-02	1.675265e-03	2.656870e-03
-3.000000e+00	-2.800000e+00	1.822635e-02	1.867820e-03	2.415410e-03
-2.800000e+00	-2.600000e+00	1.839813e-02	2.063065e-03	1.801970e-03
-2.600000e+00	-2.400000e+00	1.784207e-02	2.294270e-03	1.650625e-03
-2.400000e+00	-2.200000e+00	1.683134e-02	1.811205e-03	2.355670e-03
-2.200000e+00	-2.000000e+00	1.550009e-02	1.806135e-03	1.532040e-03
-2.000000e+00	-1.800000e+00	1.390800e-02	1.494885e-03	1.713140e-03
-1.800000e+00	-1.600000e+00	1.231828e-02	1.356085e-03	1.238170e-03
-1.600000e+00	-1.400000e+00	1.078721e-02	9.781150e-04	1.238685e-03
-1.400000e+00	-1.200000e+00	9.318925e-03	8.630500e-04	8.431550e-04
-1.200000e+00	-1.000000e+00	7.849965e-03	1.048230e-03	1.088395e-03
-1.000000e+00	-8.000000e-01	6.918975e-03	8.282100e-04	1.116875e-03
