# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_2j_4}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j2j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.245311e-05	5.418025e-07	0.000000e+00
4.000000e+01	8.000000e+01	7.206922e-05	1.192672e-05	1.037090e-05
8.000000e+01	1.200000e+02	5.434527e-05	1.116037e-05	1.636903e-05
1.200000e+02	1.600000e+02	2.286806e-05	5.080645e-06	6.213870e-06
1.600000e+02	2.000000e+02	1.200744e-05	0.000000e+00	5.144972e-06
2.000000e+02	2.400000e+02	8.384063e-06	1.459420e-06	3.483055e-06
2.400000e+02	2.800000e+02	6.631262e-06	8.785175e-07	2.642300e-06
2.800000e+02	3.200000e+02	6.843707e-06	4.543275e-07	2.393983e-06
3.200000e+02	3.600000e+02	7.426228e-06	1.473918e-06	1.635632e-06
3.600000e+02	4.000000e+02	7.538690e-06	6.563575e-07	1.102935e-06
4.000000e+02	4.400000e+02	8.138455e-06	2.047190e-06	1.067785e-06
4.400000e+02	4.800000e+02	7.573287e-06	1.725540e-06	1.758395e-06
4.800000e+02	5.200000e+02	7.454230e-06	2.361047e-06	1.048960e-06
5.200000e+02	5.600000e+02	7.831100e-06	1.438510e-06	1.270223e-06
5.600000e+02	6.000000e+02	6.436727e-06	1.169700e-07	2.174827e-06
6.000000e+02	6.400000e+02	5.984383e-06	0.000000e+00	3.004390e-06
6.400000e+02	6.800000e+02	8.157648e-06	3.600555e-06	0.000000e+00
6.800000e+02	7.200000e+02	1.058556e-05	4.721950e-06	0.000000e+00
7.200000e+02	7.600000e+02	5.242432e-06	8.011600e-07	5.527025e-07
7.600000e+02	8.000000e+02	5.331483e-06	0.000000e+00	1.863540e-06
8.000000e+02	8.400000e+02	7.007142e-06	2.757635e-06	0.000000e+00
8.400000e+02	8.800000e+02	4.009935e-06	0.000000e+00	1.883362e-06
8.800000e+02	9.200000e+02	5.506180e-06	6.438725e-07	0.000000e+00
9.200000e+02	9.600000e+02	4.990510e-06	1.533735e-06	1.232868e-06
9.600000e+02	1.000000e+03	2.177192e-06	0.000000e+00	6.408978e-06
1.000000e+03	1.040000e+03	3.948067e-06	5.872875e-07	8.083275e-07
1.040000e+03	1.080000e+03	3.644908e-06	4.568200e-07	3.043278e-06
1.080000e+03	1.120000e+03	3.761845e-06	0.000000e+00	6.196650e-07
1.120000e+03	1.160000e+03	2.842243e-06	0.000000e+00	7.348000e-07
1.160000e+03	1.200000e+03	3.074392e-06	3.642650e-07	7.918475e-07
1.200000e+03	1.240000e+03	3.854732e-06	1.305210e-06	0.000000e+00
1.240000e+03	1.280000e+03	3.279628e-06	1.127907e-06	0.000000e+00
1.280000e+03	1.320000e+03	2.286678e-06	0.000000e+00	7.821495e-07
1.320000e+03	1.360000e+03	2.284419e-06	3.547360e-07	5.365437e-07
1.360000e+03	1.400000e+03	2.313756e-06	2.915867e-07	8.392518e-07
1.400000e+03	1.440000e+03	1.860625e-06	2.017358e-07	1.431592e-06
1.440000e+03	1.480000e+03	2.147369e-06	7.487337e-07	3.441158e-07
1.480000e+03	1.520000e+03	2.997815e-06	1.462051e-06	0.000000e+00
1.520000e+03	1.560000e+03	1.423650e-06	0.000000e+00	7.913803e-07
1.560000e+03	1.600000e+03	1.677741e-06	3.403247e-07	8.570687e-07
1.600000e+03	1.640000e+03	1.495417e-06	3.178065e-07	7.644385e-07
1.640000e+03	1.680000e+03	1.134068e-06	0.000000e+00	7.197197e-07
1.680000e+03	1.720000e+03	9.500695e-07	0.000000e+00	3.072643e-07
1.720000e+03	1.760000e+03	1.357293e-06	4.342028e-07	1.726170e-07
1.760000e+03	1.800000e+03	9.684900e-07	0.000000e+00	5.455958e-07
1.800000e+03	1.840000e+03	9.156925e-07	6.653150e-08	4.413700e-08
1.840000e+03	1.880000e+03	9.990675e-07	6.605450e-08	4.482202e-07
1.880000e+03	1.920000e+03	1.044254e-06	2.697625e-07	1.647623e-07
1.920000e+03	1.960000e+03	6.112127e-07	0.000000e+00	5.810130e-07
1.960000e+03	2.000000e+03	6.525690e-07	4.718125e-08	1.171375e-08
2.000000e+03	2.040000e+03	7.835458e-07	8.789450e-08	8.235800e-08
2.040000e+03	2.080000e+03	5.894567e-07	0.000000e+00	1.870830e-06
2.080000e+03	2.120000e+03	7.135542e-07	2.586943e-07	7.718758e-06
