# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.702292e-05	2.638460e-06	0.000000e+00
-4.400000e+00	-4.200000e+00	3.393387e-04	2.146285e-05	3.447210e-05
-4.200000e+00	-4.000000e+00	1.358705e-03	2.774445e-04	0.000000e+00
-4.000000e+00	-3.800000e+00	2.504718e-03	7.971500e-05	5.085000e-06
-3.800000e+00	-3.600000e+00	4.262300e-03	1.699220e-04	1.932430e-04
-3.600000e+00	-3.400000e+00	6.485965e-03	0.000000e+00	3.692750e-04
-3.400000e+00	-3.200000e+00	9.364360e-03	4.618500e-04	3.073950e-04
-3.200000e+00	-3.000000e+00	1.243055e-02	3.410750e-04	3.712150e-04
-3.000000e+00	-2.800000e+00	1.647742e-02	1.290845e-03	0.000000e+00
-2.800000e+00	-2.600000e+00	1.921244e-02	1.068025e-03	0.000000e+00
-2.600000e+00	-2.400000e+00	2.113163e-02	1.161850e-04	1.959185e-03
-2.400000e+00	-2.200000e+00	2.532848e-02	1.019420e-03	4.126950e-04
-2.200000e+00	-2.000000e+00	2.761779e-02	7.431350e-04	8.164500e-05
-2.000000e+00	-1.800000e+00	2.941576e-02	3.213900e-04	6.987700e-04
-1.800000e+00	-1.600000e+00	3.207387e-02	1.605825e-03	1.528515e-03
-1.600000e+00	-1.400000e+00	3.255141e-02	0.000000e+00	2.009280e-03
-1.400000e+00	-1.200000e+00	3.594722e-02	3.169405e-03	0.000000e+00
-1.200000e+00	-1.000000e+00	3.671455e-02	2.205800e-03	0.000000e+00
-1.000000e+00	-8.000000e-01	3.718810e-02	1.561205e-03	4.759600e-04
-8.000000e-01	-6.000000e-01	3.700030e-02	1.613215e-03	2.619310e-03
-6.000000e-01	-4.000000e-01	3.970217e-02	4.077000e-03	5.417940e-03
-4.000000e-01	-2.000000e-01	4.045647e-02	4.338755e-03	1.093155e-03
-2.000000e-01	0.000000e+00	3.798168e-02	6.109750e-04	2.279315e-03
0.000000e+00	2.000000e-01	3.859513e-02	2.311970e-03	2.784365e-03
2.000000e-01	4.000000e-01	4.063367e-02	2.079425e-03	0.000000e+00
4.000000e-01	6.000000e-01	3.984609e-02	1.560450e-03	0.000000e+00
6.000000e-01	8.000000e-01	3.807277e-02	2.116145e-03	2.769060e-03
8.000000e-01	1.000000e+00	3.849144e-02	3.465965e-03	0.000000e+00
1.000000e+00	1.200000e+00	3.689157e-02	2.404690e-03	0.000000e+00
1.200000e+00	1.400000e+00	3.327900e-02	0.000000e+00	3.283925e-03
1.400000e+00	1.600000e+00	3.262404e-02	9.394550e-04	2.397785e-03
1.600000e+00	1.800000e+00	2.965116e-02	0.000000e+00	2.534970e-03
1.800000e+00	2.000000e+00	2.970471e-02	2.993000e-04	3.081200e-04
2.000000e+00	2.200000e+00	2.780935e-02	4.762350e-04	3.188950e-04
2.200000e+00	2.400000e+00	2.788097e-02	3.526590e-03	0.000000e+00
2.400000e+00	2.600000e+00	2.252212e-02	1.804605e-03	5.559000e-04
2.600000e+00	2.800000e+00	1.889855e-02	0.000000e+00	5.416450e-04
2.800000e+00	3.000000e+00	1.558308e-02	2.782000e-05	4.940200e-04
3.000000e+00	3.200000e+00	1.348603e-02	1.165615e-03	0.000000e+00
3.200000e+00	3.400000e+00	9.153220e-03	3.156500e-04	8.514350e-04
3.400000e+00	3.600000e+00	7.158305e-03	6.005550e-04	0.000000e+00
3.600000e+00	3.800000e+00	4.038881e-03	0.000000e+00	5.771610e-04
3.800000e+00	4.000000e+00	2.724168e-03	3.844745e-04	0.000000e+00
4.000000e+00	4.200000e+00	1.139988e-03	1.494900e-05	5.557650e-05
4.200000e+00	4.400000e+00	3.303002e-04	1.075015e-05	3.569095e-05
4.400000e+00	4.600000e+00	2.392715e-05	0.000000e+00	6.016020e-06
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.478802e-05	0.000000e+00	2.370620e-06
-4.400000e+00	-4.200000e+00	3.287183e-04	2.226630e-05	1.789855e-05
-4.200000e+00	-4.000000e+00	1.087519e-03	8.325700e-05	1.275655e-04
-4.000000e+00	-3.800000e+00	2.517493e-03	2.296205e-04	1.280615e-04
-3.800000e+00	-3.600000e+00	4.183925e-03	2.260875e-04	5.139950e-04
-3.600000e+00	-3.400000e+00	6.673720e-03	5.793100e-04	4.159750e-04
-3.400000e+00	-3.200000e+00	9.184395e-03	2.759750e-04	7.230050e-04
-3.200000e+00	-3.000000e+00	1.219816e-02	6.394300e-04	1.107750e-03
-3.000000e+00	-2.800000e+00	1.531233e-02	7.253700e-04	1.327920e-03
-2.800000e+00	-2.600000e+00	1.842680e-02	1.016345e-03	1.108540e-03
-2.600000e+00	-2.400000e+00	2.153557e-02	1.524280e-03	1.681745e-03
-2.400000e+00	-2.200000e+00	2.450024e-02	1.954180e-03	1.747835e-03
-2.200000e+00	-2.000000e+00	2.649928e-02	1.635640e-03	2.711180e-03
-2.000000e+00	-1.800000e+00	2.886379e-02	2.182680e-03	2.813570e-03
-1.800000e+00	-1.600000e+00	3.141420e-02	2.700210e-03	2.173190e-03
-1.600000e+00	-1.400000e+00	3.393316e-02	3.747760e-03	7.649600e-04
-1.400000e+00	-1.200000e+00	3.433967e-02	3.108190e-03	2.358455e-03
-1.200000e+00	-1.000000e+00	3.535592e-02	3.728135e-03	3.010345e-03
