# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.115984e-04	2.670500e-06	1.960740e-05
4.000000e+01	8.000000e+01	3.597952e-04	4.121325e-05	5.805450e-05
8.000000e+01	1.200000e+02	3.520658e-04	3.360475e-05	3.486675e-05
1.200000e+02	1.600000e+02	2.902050e-04	3.125075e-05	1.847400e-05
1.600000e+02	2.000000e+02	2.235196e-04	2.197145e-05	1.767115e-05
2.000000e+02	2.400000e+02	1.656807e-04	1.466702e-05	2.085033e-05
2.400000e+02	2.800000e+02	1.426688e-04	3.340082e-05	2.124100e-06
2.800000e+02	3.200000e+02	1.456449e-04	5.177925e-05	0.000000e+00
3.200000e+02	3.600000e+02	8.601870e-05	7.256425e-06	1.679318e-05
3.600000e+02	4.000000e+02	7.796537e-05	1.114805e-05	1.265098e-05
4.000000e+02	4.400000e+02	6.286777e-05	6.299875e-06	1.108900e-05
4.400000e+02	4.800000e+02	5.304215e-05	3.746900e-06	9.024725e-06
4.800000e+02	5.200000e+02	4.773330e-05	7.814475e-06	6.450300e-06
5.200000e+02	5.600000e+02	4.117172e-05	3.733500e-06	6.461525e-06
5.600000e+02	6.000000e+02	3.620945e-05	4.265750e-06	4.827925e-06
6.000000e+02	6.400000e+02	3.428685e-05	5.449425e-06	5.503275e-06
6.400000e+02	6.800000e+02	2.971282e-05	1.572275e-06	6.343525e-06
6.800000e+02	7.200000e+02	2.289762e-05	0.000000e+00	5.497775e-06
7.200000e+02	7.600000e+02	2.636270e-05	6.068240e-06	0.000000e+00
7.600000e+02	8.000000e+02	2.207358e-05	3.220487e-06	1.387865e-06
8.000000e+02	8.400000e+02	1.740163e-05	3.213500e-08	8.442050e-07
8.400000e+02	8.800000e+02	1.838248e-05	2.664170e-06	1.999600e-07
8.800000e+02	9.200000e+02	1.504503e-05	2.023813e-06	3.669387e-06
9.200000e+02	9.600000e+02	1.298690e-05	1.932180e-06	1.451725e-06
9.600000e+02	1.000000e+03	1.129887e-05	0.000000e+00	2.819210e-06
1.000000e+03	1.040000e+03	1.230725e-05	1.886998e-06	1.467447e-06
1.040000e+03	1.080000e+03	9.557222e-06	6.070775e-07	3.458763e-06
1.080000e+03	1.120000e+03	9.714980e-06	2.835100e-07	7.326450e-07
1.120000e+03	1.160000e+03	7.920635e-06	0.000000e+00	1.712858e-06
1.160000e+03	1.200000e+03	4.004980e-06	0.000000e+00	4.175198e-06
1.200000e+03	1.240000e+03	7.132970e-06	5.163725e-07	2.102555e-06
1.240000e+03	1.280000e+03	6.129962e-06	0.000000e+00	1.612280e-06
1.280000e+03	1.320000e+03	5.853163e-06	9.597650e-07	1.220692e-06
1.320000e+03	1.360000e+03	5.686445e-06	1.175000e-06	0.000000e+00
1.360000e+03	1.400000e+03	5.771642e-06	1.358102e-06	0.000000e+00
1.400000e+03	1.440000e+03	4.880715e-06	9.341450e-07	0.000000e+00
1.440000e+03	1.480000e+03	4.607187e-06	1.372390e-06	9.632375e-07
1.480000e+03	1.520000e+03	3.574190e-06	0.000000e+00	3.598400e-07
1.520000e+03	1.560000e+03	3.411058e-06	0.000000e+00	6.095900e-07
1.560000e+03	1.600000e+03	3.739303e-06	9.859475e-07	0.000000e+00
1.600000e+03	1.640000e+03	2.947592e-06	5.400060e-07	6.650025e-07
1.640000e+03	1.680000e+03	2.628367e-06	2.506500e-08	6.405225e-07
1.680000e+03	1.720000e+03	2.306571e-06	0.000000e+00	9.439388e-07
1.720000e+03	1.760000e+03	2.173151e-06	0.000000e+00	4.704345e-07
1.760000e+03	1.800000e+03	2.181176e-06	3.040207e-07	7.460270e-07
1.800000e+03	1.840000e+03	2.248156e-06	4.856127e-07	1.452489e-06
1.840000e+03	1.880000e+03	1.825803e-06	2.858575e-08	2.045350e-08
1.880000e+03	1.920000e+03	1.389867e-06	6.870987e-07	5.209027e-07
1.920000e+03	1.960000e+03	1.233710e-06	0.000000e+00	8.454718e-07
1.960000e+03	2.000000e+03	1.513326e-06	3.505295e-07	1.293409e-06
2.000000e+03	2.040000e+03	1.744188e-06	4.223280e-07	0.000000e+00
2.040000e+03	2.080000e+03	9.944477e-07	2.703925e-08	6.620025e-08
2.080000e+03	2.120000e+03	1.596390e-06	5.365353e-07	0.000000e+00
