# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine
XLabel=$m_{j_1j_2j_3}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2j_3}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/trijet_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	2.673860e-09	2.283480e-09	3.449725e-10
3.600000e+01	4.000000e+01	1.791130e-08	4.288567e-09	0.000000e+00
4.000000e+01	4.400000e+01	1.433598e-07	2.703632e-08	4.964920e-08
4.400000e+01	4.800000e+01	2.751818e-07	0.000000e+00	4.661672e-07
4.800000e+01	5.200000e+01	1.448535e-06	0.000000e+00	2.280418e-07
5.200000e+01	5.600000e+01	3.190813e-06	0.000000e+00	1.299095e-06
5.600000e+01	6.000000e+01	7.895432e-06	0.000000e+00	2.085760e-06
6.000000e+01	6.400000e+01	1.238023e-05	0.000000e+00	4.926355e-06
6.400000e+01	6.800000e+01	2.340604e-05	1.798943e-06	4.338285e-06
6.800000e+01	7.200000e+01	4.642610e-05	1.005412e-05	8.286075e-06
7.200000e+01	7.600000e+01	9.072000e-05	7.802825e-06	0.000000e+00
7.600000e+01	8.000000e+01	1.821579e-04	8.777500e-06	2.285483e-05
8.000000e+01	8.400000e+01	2.810205e-04	8.004500e-06	2.568425e-05
8.400000e+01	8.800000e+01	2.502547e-04	1.262745e-05	2.768450e-05
8.800000e+01	9.200000e+01	3.194620e-04	0.000000e+00	3.032750e-05
9.200000e+01	9.600000e+01	3.802690e-04	2.851275e-05	1.602750e-06
9.600000e+01	1.000000e+02	3.646430e-04	0.000000e+00	8.466975e-05
1.000000e+02	1.040000e+02	5.042000e-04	6.206775e-05	6.843400e-05
1.040000e+02	1.080000e+02	6.092053e-04	5.285250e-05	4.463600e-05
1.080000e+02	1.120000e+02	7.773285e-04	7.602500e-05	0.000000e+00
1.120000e+02	1.160000e+02	9.373572e-04	4.999025e-05	6.995050e-05
1.160000e+02	1.200000e+02	1.125718e-03	4.380650e-05	2.592700e-05
1.200000e+02	1.240000e+02	1.292889e-03	3.418300e-05	5.462150e-05
1.240000e+02	1.280000e+02	1.430667e-03	3.513700e-05	1.285992e-04
1.280000e+02	1.320000e+02	1.605778e-03	3.406700e-05	1.093772e-04
1.320000e+02	1.360000e+02	1.737888e-03	2.273000e-05	1.181567e-04
1.360000e+02	1.400000e+02	1.917299e-03	1.615407e-04	1.024562e-04
1.400000e+02	1.440000e+02	1.992988e-03	1.311317e-04	1.110433e-04
1.440000e+02	1.480000e+02	2.034160e-03	1.008247e-04	1.577323e-04
1.480000e+02	1.520000e+02	2.173235e-03	2.255135e-04	1.660237e-04
1.520000e+02	1.560000e+02	2.128039e-03	5.505175e-05	1.521863e-04
1.560000e+02	1.600000e+02	2.113371e-03	0.000000e+00	1.656690e-04
1.600000e+02	1.640000e+02	2.132754e-03	1.390402e-04	2.086585e-04
1.640000e+02	1.680000e+02	2.196366e-03	8.639925e-05	5.691050e-05
1.680000e+02	1.720000e+02	2.252196e-03	1.522997e-04	8.203675e-05
1.720000e+02	1.760000e+02	2.139081e-03	1.109330e-04	1.635823e-04
1.760000e+02	1.800000e+02	2.164964e-03	0.000000e+00	3.226505e-04
1.800000e+02	1.840000e+02	2.160761e-03	1.586120e-04	1.675058e-04
1.840000e+02	1.880000e+02	2.049151e-03	1.027472e-04	0.000000e+00
1.880000e+02	1.920000e+02	2.030850e-03	1.134275e-05	7.224425e-05
1.920000e+02	1.960000e+02	2.091414e-03	2.489543e-04	0.000000e+00
1.960000e+02	2.000000e+02	1.853253e-03	7.587500e-05	1.629180e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/trijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	2.199909e-09	2.455599e-09	0.000000e+00
3.600000e+01	4.000000e+01	2.317552e-08	4.400515e-09	0.000000e+00
4.000000e+01	4.400000e+01	1.189571e-07	8.660725e-09	1.006062e-07
4.400000e+01	4.800000e+01	4.947352e-07	1.569425e-08	2.236485e-07
4.800000e+01	5.200000e+01	1.577431e-06	1.050150e-08	8.168890e-07
5.200000e+01	5.600000e+01	3.626252e-06	6.227500e-07	2.312400e-07
5.600000e+01	6.000000e+01	7.990800e-06	6.253400e-07	4.049425e-07
6.000000e+01	6.400000e+01	1.404850e-05	2.499100e-07	1.128882e-06
6.400000e+01	6.800000e+01	2.694862e-05	1.623325e-06	1.557775e-06
6.800000e+01	7.200000e+01	4.300847e-05	0.000000e+00	6.755900e-06
7.200000e+01	7.600000e+01	8.811012e-05	4.429575e-06	1.014078e-05
7.600000e+01	8.000000e+01	1.873681e-04	2.598925e-06	1.223185e-05
8.000000e+01	8.400000e+01	2.975288e-04	1.981675e-05	2.745075e-05
8.400000e+01	8.800000e+01	2.586700e-04	1.578545e-05	2.386650e-05
8.800000e+01	9.200000e+01	3.378410e-04	0.000000e+00	2.233100e-05
9.200000e+01	9.600000e+01	3.678257e-04	5.189250e-06	3.501125e-05
9.600000e+01	1.000000e+02	3.991825e-04	3.780175e-05	4.834125e-05
1.000000e+02	1.040000e+02	4.924048e-04	1.677375e-05	5.236250e-05
1.040000e+02	1.080000e+02	6.155652e-04	5.005325e-05	7.419050e-05
1.080000e+02	1.120000e+02	7.617725e-04	4.651375e-05	6.688100e-05
1.120000e+02	1.160000e+02	9.260110e-04	5.289525e-05	8.549700e-05
1.160000e+02	1.200000e+02	1.124753e-03	7.890200e-05	6.518200e-05
1.200000e+02	1.240000e+02	1.281201e-03	5.924575e-05	6.495650e-05
