# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/HT_gapjets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/HT_gapjets
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$H_{T,jets}^\text{gap}$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$\text{d} \sigma/ \text{d} H_{T,jets}^\text{gap}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/HT_gapjets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/HT_gapjets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	6.285593e-03	4.014970e-04	4.012450e-04
3.000000e+01	4.000000e+01	7.280750e-03	3.624470e-04	1.827440e-04
4.000000e+01	5.000000e+01	3.140608e-03	0.000000e+00	1.495900e-05
5.000000e+01	6.000000e+01	2.574278e-03	1.562130e-04	1.702060e-04
6.000000e+01	7.000000e+01	2.393415e-03	2.294090e-04	2.719110e-04
7.000000e+01	8.000000e+01	1.801233e-03	3.510700e-05	1.480130e-04
8.000000e+01	9.000000e+01	1.312792e-03	1.756540e-04	2.482640e-04
9.000000e+01	1.000000e+02	1.085930e-03	2.156940e-04	5.587800e-05
1.000000e+02	1.100000e+02	7.995921e-04	1.125118e-04	8.197410e-05
1.100000e+02	1.200000e+02	5.903792e-04	6.631650e-05	1.372227e-04
1.200000e+02	1.300000e+02	5.260052e-04	1.441841e-04	9.238900e-06
1.300000e+02	1.400000e+02	3.551359e-04	5.978490e-05	1.126990e-04
1.400000e+02	1.500000e+02	2.880351e-04	3.873060e-05	8.253400e-05
1.500000e+02	1.600000e+02	2.268328e-04	5.780690e-05	6.753020e-05
1.600000e+02	1.700000e+02	1.801911e-04	3.225780e-05	5.271100e-05
1.700000e+02	1.800000e+02	1.545643e-04	4.557040e-05	4.275830e-05
1.800000e+02	1.900000e+02	1.097846e-04	2.067909e-05	3.579520e-05
1.900000e+02	2.000000e+02	9.645869e-05	2.510379e-05	5.140381e-05
2.000000e+02	2.100000e+02	6.323988e-05	8.223950e-06	3.231269e-05
2.100000e+02	2.200000e+02	6.326957e-05	1.770632e-05	1.998848e-05
2.200000e+02	2.300000e+02	5.128280e-05	1.459220e-05	2.427549e-05
2.300000e+02	2.400000e+02	4.214236e-05	1.104020e-05	1.976120e-05
2.400000e+02	2.500000e+02	3.640089e-05	9.264240e-06	1.529517e-05
2.500000e+02	2.600000e+02	2.833113e-05	7.071840e-06	1.339525e-05
2.600000e+02	2.700000e+02	2.468654e-05	6.968940e-06	1.384524e-05
2.700000e+02	2.800000e+02	2.209204e-05	6.786320e-06	1.305566e-05
2.800000e+02	2.900000e+02	1.952216e-05	5.327900e-06	5.471850e-06
2.900000e+02	3.000000e+02	1.690284e-05	5.894180e-06	6.351020e-06
3.000000e+02	3.100000e+02	1.470667e-05	5.150279e-06	4.201020e-06
3.100000e+02	3.200000e+02	1.129031e-05	3.300001e-06	7.341270e-06
3.200000e+02	3.300000e+02	9.883264e-06	2.523921e-06	6.272236e-06
3.300000e+02	3.400000e+02	8.674769e-06	2.189401e-06	4.914101e-06
3.400000e+02	3.500000e+02	7.660833e-06	2.247000e-06	3.242597e-06
3.500000e+02	3.600000e+02	6.783673e-06	2.542132e-06	3.666067e-06
3.600000e+02	3.700000e+02	5.583431e-06	1.873646e-06	5.295819e-06
3.700000e+02	3.800000e+02	5.352715e-06	2.462856e-06	2.750266e-06
3.800000e+02	3.900000e+02	4.300826e-06	1.053454e-06	2.909910e-06
3.900000e+02	4.000000e+02	4.225558e-06	1.965828e-06	1.908596e-06
4.000000e+02	4.100000e+02	3.651765e-06	1.533090e-06	2.236631e-06
4.100000e+02	4.200000e+02	3.178790e-06	1.179435e-06	1.469358e-06
4.200000e+02	4.300000e+02	2.770737e-06	8.948540e-07	2.385633e-06
4.300000e+02	4.400000e+02	2.588310e-06	6.496640e-07	7.987430e-07
4.400000e+02	4.500000e+02	2.373871e-06	1.000121e-06	8.696560e-07
4.500000e+02	4.600000e+02	1.879595e-06	6.103680e-07	1.282882e-06
4.600000e+02	4.700000e+02	1.663503e-06	5.378830e-07	1.217878e-06
4.700000e+02	4.800000e+02	1.520201e-06	1.142270e-06	1.050959e-06
4.800000e+02	4.900000e+02	1.311541e-06	2.640570e-07	1.009587e-06
4.900000e+02	5.000000e+02	1.278489e-06	4.888733e-07	7.024690e-07
5.000000e+02	5.100000e+02	1.215538e-06	5.314111e-07	6.864550e-07
5.100000e+02	5.200000e+02	9.005578e-07	1.733121e-07	8.637322e-07
5.200000e+02	5.300000e+02	9.167073e-07	4.249379e-07	5.350547e-07
5.300000e+02	5.400000e+02	9.124221e-07	4.060824e-07	2.626139e-07
5.400000e+02	5.500000e+02	6.714703e-07	2.667700e-07	4.286847e-07
5.500000e+02	5.600000e+02	6.033335e-07	2.433532e-07	4.430865e-07
5.600000e+02	5.700000e+02	6.062580e-07	1.154070e-07	3.642794e-07
5.700000e+02	5.800000e+02	5.457568e-07	2.041135e-07	2.677962e-07
5.800000e+02	5.900000e+02	5.690739e-07	2.746901e-07	1.661111e-07
5.900000e+02	6.000000e+02	4.596673e-07	1.738602e-07	2.028747e-07
6.000000e+02	6.100000e+02	3.225637e-07	7.662360e-08	3.919790e-07
6.100000e+02	6.200000e+02	3.507101e-07	8.984380e-08	2.744018e-07
6.200000e+02	6.300000e+02	3.019221e-07	1.178267e-07	2.009701e-07
6.300000e+02	6.400000e+02	2.821723e-07	5.108020e-08	2.104760e-07
6.400000e+02	6.500000e+02	2.922715e-07	1.485554e-07	2.206096e-07
6.500000e+02	6.600000e+02	2.829021e-07	1.224845e-07	1.170823e-07
6.600000e+02	6.700000e+02	2.138325e-07	7.790640e-08	3.578801e-07
6.700000e+02	6.800000e+02	1.631686e-07	4.023370e-08	1.856876e-07
6.800000e+02	6.900000e+02	1.943515e-07	7.614690e-08	1.304985e-07
6.900000e+02	7.000000e+02	1.829551e-07	9.416749e-08	9.206990e-08
7.000000e+02	7.100000e+02	2.220224e-07	1.163009e-07	4.255340e-08
7.100000e+02	7.200000e+02	1.806910e-07	9.280862e-08	4.165840e-08
7.200000e+02	7.300000e+02	1.198864e-07	3.583952e-08	9.228270e-08
7.300000e+02	7.400000e+02	1.311966e-07	6.350359e-08	1.275690e-07
7.400000e+02	7.500000e+02	9.578056e-08	4.848835e-08	1.183654e-07
7.500000e+02	7.600000e+02	9.911030e-08	2.391829e-08	0.000000e+00
7.600000e+02	7.700000e+02	7.033155e-08	2.630281e-08	2.633894e-07
7.700000e+02	7.800000e+02	7.192814e-08	1.105870e-08	5.261486e-08
7.800000e+02	7.900000e+02	8.034565e-08	3.435620e-08	6.742985e-08
7.900000e+02	8.000000e+02	9.584954e-08	4.841157e-08	1.576726e-08
8.000000e+02	8.100000e+02	5.466619e-08	2.340120e-09	7.018311e-08
8.100000e+02	8.200000e+02	4.896878e-08	1.607634e-08	5.215122e-08
8.200000e+02	8.300000e+02	5.557009e-08	1.548887e-08	4.920881e-08
8.300000e+02	8.400000e+02	5.718834e-08	2.692165e-08	1.310461e-08
8.400000e+02	8.500000e+02	7.069525e-08	3.519722e-08	5.943580e-09
8.500000e+02	8.600000e+02	3.002326e-08	3.469220e-09	4.386236e-08
8.600000e+02	8.700000e+02	4.226420e-08	2.151393e-08	1.084473e-08
8.700000e+02	8.800000e+02	3.203702e-08	0.000000e+00	2.739719e-08
8.800000e+02	8.900000e+02	4.088902e-08	1.874139e-08	2.208486e-08
8.900000e+02	9.000000e+02	4.061061e-08	2.279605e-08	1.138620e-09
9.000000e+02	9.100000e+02	3.794815e-08	0.000000e+00	6.905125e-08
9.100000e+02	9.200000e+02	5.475848e-08	3.983540e-08	0.000000e+00
9.200000e+02	9.300000e+02	3.243646e-08	1.756763e-08	1.244998e-08
9.300000e+02	9.400000e+02	1.681271e-08	2.288500e-10	1.718972e-08
9.400000e+02	9.500000e+02	1.824504e-08	6.852560e-09	7.419810e-09
9.500000e+02	9.600000e+02	2.766752e-08	1.428983e-08	1.606212e-08
9.600000e+02	9.700000e+02	1.727585e-08	7.277585e-09	2.568783e-08
9.700000e+02	9.800000e+02	3.752995e-08	2.567562e-08	0.000000e+00
9.800000e+02	9.900000e+02	1.737739e-08	7.212830e-09	1.089376e-08
9.900000e+02	1.000000e+03	1.405337e-08	4.428466e-09	1.776735e-08
# END HISTO1D


