# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/j2j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.141570e-04	0.000000e+00	9.761750e-06
4.000000e+01	8.000000e+01	2.176749e-03	7.365150e-05	1.877280e-04
8.000000e+01	1.200000e+02	1.892082e-03	1.655090e-04	6.795575e-05
1.200000e+02	1.600000e+02	9.479722e-04	7.255450e-05	1.209543e-04
1.600000e+02	2.000000e+02	6.789442e-04	7.455450e-05	1.897800e-05
2.000000e+02	2.400000e+02	5.142550e-04	5.100750e-05	6.627150e-05
2.400000e+02	2.800000e+02	4.280325e-04	3.426075e-05	2.772325e-05
2.800000e+02	3.200000e+02	3.591945e-04	2.232375e-05	2.498400e-05
3.200000e+02	3.600000e+02	3.212807e-04	2.222125e-05	1.926050e-05
3.600000e+02	4.000000e+02	2.892513e-04	6.180560e-05	0.000000e+00
4.000000e+02	4.400000e+02	2.664240e-04	2.353070e-05	2.189650e-05
4.400000e+02	4.800000e+02	2.432503e-04	3.150425e-05	1.093445e-05
4.800000e+02	5.200000e+02	2.141767e-04	1.591513e-05	1.880355e-05
5.200000e+02	5.600000e+02	1.932228e-04	7.204075e-06	1.049563e-05
5.600000e+02	6.000000e+02	1.929803e-04	2.515300e-05	5.737075e-06
6.000000e+02	6.400000e+02	1.615961e-04	3.480875e-06	1.422797e-05
6.400000e+02	6.800000e+02	1.588442e-04	1.744325e-05	7.446350e-06
6.800000e+02	7.200000e+02	1.399710e-04	1.229175e-05	9.285000e-06
7.200000e+02	7.600000e+02	1.297369e-04	8.098750e-06	1.000735e-05
7.600000e+02	8.000000e+02	1.253983e-04	1.517485e-05	4.162000e-07
8.000000e+02	8.400000e+02	1.050924e-04	0.000000e+00	2.766808e-05
8.400000e+02	8.800000e+02	1.022264e-04	1.111332e-05	7.189650e-06
8.800000e+02	9.200000e+02	9.710972e-05	6.682775e-06	2.554250e-07
9.200000e+02	9.600000e+02	1.366101e-04	6.696457e-05	0.000000e+00
9.600000e+02	1.000000e+03	8.191675e-05	9.665625e-06	6.669250e-07
1.000000e+03	1.040000e+03	7.065663e-05	5.711150e-06	1.434538e-05
1.040000e+03	1.080000e+03	7.049372e-05	9.650800e-06	5.226675e-06
1.080000e+03	1.120000e+03	6.294490e-05	5.849850e-06	2.790900e-06
1.120000e+03	1.160000e+03	5.646245e-05	5.399800e-06	6.268675e-06
1.160000e+03	1.200000e+03	5.382175e-05	3.588675e-06	6.475825e-06
1.200000e+03	1.240000e+03	4.874582e-05	3.065700e-06	2.651850e-06
1.240000e+03	1.280000e+03	4.272685e-05	2.617575e-06	3.849975e-06
1.280000e+03	1.320000e+03	4.221723e-05	3.049700e-06	4.770000e-07
1.320000e+03	1.360000e+03	3.574178e-05	1.363475e-06	7.779125e-06
1.360000e+03	1.400000e+03	3.665895e-05	2.036275e-06	3.725300e-06
1.400000e+03	1.440000e+03	3.420657e-05	2.977750e-06	0.000000e+00
1.440000e+03	1.480000e+03	3.211008e-05	4.374400e-06	2.256725e-06
1.480000e+03	1.520000e+03	2.777197e-05	9.229250e-07	5.813325e-06
1.520000e+03	1.560000e+03	2.230713e-05	5.798275e-07	6.453965e-06
1.560000e+03	1.600000e+03	2.367919e-05	1.129210e-06	9.771415e-06
1.600000e+03	1.640000e+03	2.383393e-05	2.588817e-06	0.000000e+00
1.640000e+03	1.680000e+03	1.964374e-05	3.203400e-07	2.054400e-07
1.680000e+03	1.720000e+03	1.919072e-05	1.704667e-06	4.350203e-06
1.720000e+03	1.760000e+03	1.815865e-05	1.362530e-06	4.789975e-07
1.760000e+03	1.800000e+03	1.717558e-05	2.389600e-06	1.937455e-06
1.800000e+03	1.840000e+03	1.638620e-05	2.603252e-06	2.280157e-06
1.840000e+03	1.880000e+03	1.426055e-05	1.057143e-06	8.295475e-07
1.880000e+03	1.920000e+03	1.355483e-05	1.850072e-06	0.000000e+00
1.920000e+03	1.960000e+03	1.277244e-05	7.124525e-07	6.633825e-07
1.960000e+03	2.000000e+03	1.197771e-05	1.662853e-06	2.900250e-08
2.000000e+03	2.040000e+03	1.071020e-05	2.162775e-07	7.103625e-07
2.040000e+03	2.080000e+03	9.420245e-06	0.000000e+00	1.806710e-06
2.080000e+03	2.120000e+03	9.114710e-06	1.292105e-06	1.581400e-07
2.120000e+03	2.160000e+03	9.945690e-06	2.653237e-06	0.000000e+00
2.160000e+03	2.200000e+03	8.372203e-06	1.626378e-06	5.692825e-07
2.200000e+03	2.240000e+03	7.223803e-06	7.384650e-07	1.243702e-06
2.240000e+03	2.280000e+03	7.474235e-06	1.773072e-06	2.198300e-07
2.280000e+03	2.320000e+03	5.967138e-06	2.752050e-07	8.943250e-08
