# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass
XLabel=$m_{j_2j_4}$ (GeV)
LegendAlign=r
XMax=1000
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/j2j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	4.461515e-05	1.450225e-06	6.910600e-06
4.000000e+01	8.000000e+01	4.258920e-04	7.149400e-05	6.258175e-05
8.000000e+01	1.200000e+02	5.632415e-04	1.406490e-04	2.841800e-05
1.200000e+02	1.600000e+02	3.001632e-04	6.095507e-05	9.174350e-05
1.600000e+02	2.000000e+02	1.810424e-04	8.119500e-06	6.390205e-05
2.000000e+02	2.400000e+02	1.407704e-04	1.789692e-05	3.773603e-05
2.400000e+02	2.800000e+02	1.185065e-04	2.140777e-05	2.485258e-05
2.800000e+02	3.200000e+02	9.234482e-05	1.558230e-05	2.092213e-05
3.200000e+02	3.600000e+02	7.652035e-05	1.863465e-05	1.903550e-05
3.600000e+02	4.000000e+02	5.979275e-05	6.481100e-06	2.235897e-05
4.000000e+02	4.400000e+02	5.628230e-05	9.367175e-06	1.612558e-05
4.400000e+02	4.800000e+02	4.695360e-05	6.193425e-06	1.180652e-05
4.800000e+02	5.200000e+02	4.307893e-05	1.043057e-05	1.073380e-05
5.200000e+02	5.600000e+02	3.698015e-05	6.500475e-06	0.000000e+00
5.600000e+02	6.000000e+02	3.230520e-05	6.741475e-06	9.624050e-06
6.000000e+02	6.400000e+02	2.637915e-05	1.705750e-07	1.278000e-05
6.400000e+02	6.800000e+02	2.492772e-05	3.839797e-06	9.001628e-06
6.800000e+02	7.200000e+02	2.876012e-05	9.167220e-06	0.000000e+00
7.200000e+02	7.600000e+02	2.144416e-05	4.078490e-06	1.005163e-06
7.600000e+02	8.000000e+02	1.826309e-05	1.665970e-06	6.187767e-06
8.000000e+02	8.400000e+02	1.841620e-05	4.562955e-06	2.559952e-06
8.400000e+02	8.800000e+02	1.545246e-05	2.719030e-06	1.743950e-06
8.800000e+02	9.200000e+02	1.441488e-05	1.522370e-06	2.601033e-06
9.200000e+02	9.600000e+02	1.372139e-05	3.528920e-06	2.774403e-06
9.600000e+02	1.000000e+03	1.010251e-05	0.000000e+00	8.099253e-06
1.000000e+03	1.040000e+03	1.086047e-05	2.494472e-06	4.598192e-06
1.040000e+03	1.080000e+03	1.084578e-05	2.264705e-06	5.358130e-06
1.080000e+03	1.120000e+03	1.146763e-05	2.976160e-06	1.610648e-06
1.120000e+03	1.160000e+03	7.830548e-06	3.945925e-07	2.748277e-06
1.160000e+03	1.200000e+03	8.515968e-06	2.035517e-06	2.102440e-06
1.200000e+03	1.240000e+03	8.545775e-06	2.566203e-06	7.493275e-07
1.240000e+03	1.280000e+03	6.887825e-06	1.057423e-06	2.606025e-07
1.280000e+03	1.320000e+03	5.200228e-06	0.000000e+00	1.743735e-06
1.320000e+03	1.360000e+03	5.671495e-06	1.101510e-06	0.000000e+00
1.360000e+03	1.400000e+03	5.503323e-06	8.410700e-07	8.799550e-07
1.400000e+03	1.440000e+03	4.858980e-06	7.898050e-07	1.140983e-06
1.440000e+03	1.480000e+03	4.447645e-06	1.145267e-06	9.500550e-07
1.480000e+03	1.520000e+03	4.211813e-06	1.178562e-06	7.574500e-08
1.520000e+03	1.560000e+03	3.799220e-06	5.838375e-07	2.888568e-06
1.560000e+03	1.600000e+03	3.140247e-06	5.033575e-07	1.483690e-06
1.600000e+03	1.640000e+03	6.277910e-06	3.919680e-06	0.000000e+00
1.640000e+03	1.680000e+03	2.485219e-06	2.933365e-07	2.986008e-07
1.680000e+03	1.720000e+03	2.089437e-06	0.000000e+00	1.295356e-06
1.720000e+03	1.760000e+03	2.727683e-06	6.774410e-07	8.205500e-07
1.760000e+03	1.800000e+03	2.303739e-06	0.000000e+00	9.063510e-07
1.800000e+03	1.840000e+03	2.116423e-06	1.089513e-06	0.000000e+00
1.840000e+03	1.880000e+03	1.979115e-06	1.244953e-07	9.479152e-07
1.880000e+03	1.920000e+03	1.904855e-06	5.453887e-07	5.616952e-07
1.920000e+03	1.960000e+03	1.544659e-06	4.611075e-08	9.837960e-07
1.960000e+03	2.000000e+03	1.516453e-06	6.003215e-07	0.000000e+00
2.000000e+03	2.040000e+03	1.527463e-06	0.000000e+00	1.743920e-06
2.040000e+03	2.080000e+03	1.274837e-06	0.000000e+00	1.693845e-06
2.080000e+03	2.120000e+03	1.665651e-06	7.169832e-07	7.614825e-06
