# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl
XLabel=$y_{j_1}^{incl}$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_1}^{incl}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.871116e-02	4.836300e-04	0.000000e+00
-4.400000e+00	-4.200000e+00	8.075595e-02	1.967350e-03	0.000000e+00
-4.200000e+00	-4.000000e+00	1.160976e-01	0.000000e+00	7.473500e-04
-4.000000e+00	-3.800000e+00	1.564813e-01	2.177500e-04	3.232300e-03
-3.800000e+00	-3.600000e+00	1.974128e-01	3.991650e-03	1.648950e-03
-3.600000e+00	-3.400000e+00	2.358713e-01	5.859050e-03	1.981000e-04
-3.400000e+00	-3.200000e+00	2.654093e-01	5.712400e-03	3.291250e-03
-3.200000e+00	-3.000000e+00	2.922300e-01	7.217050e-03	3.489700e-03
-3.000000e+00	-2.800000e+00	3.036259e-01	1.755850e-03	5.948750e-03
-2.800000e+00	-2.600000e+00	3.130380e-01	9.900550e-03	3.665950e-03
-2.600000e+00	-2.400000e+00	3.141633e-01	2.059750e-03	3.543200e-03
-2.400000e+00	-2.200000e+00	3.128741e-01	8.147300e-03	4.373000e-04
-2.200000e+00	-2.000000e+00	3.008019e-01	3.861300e-03	1.842350e-03
-2.000000e+00	-1.800000e+00	2.904397e-01	7.815500e-03	0.000000e+00
-1.800000e+00	-1.600000e+00	2.754054e-01	2.077600e-03	2.060900e-03
-1.600000e+00	-1.400000e+00	2.600841e-01	1.514150e-03	3.241400e-03
-1.400000e+00	-1.200000e+00	2.453079e-01	0.000000e+00	7.526000e-03
-1.200000e+00	-1.000000e+00	2.347060e-01	2.213100e-03	4.357750e-03
-1.000000e+00	-8.000000e-01	2.200074e-01	1.565500e-03	9.780000e-04
-8.000000e-01	-6.000000e-01	2.125593e-01	2.640400e-03	2.424250e-03
-6.000000e-01	-4.000000e-01	2.050017e-01	0.000000e+00	1.085390e-02
-4.000000e-01	-2.000000e-01	1.998051e-01	4.928500e-04	4.540950e-03
-2.000000e-01	0.000000e+00	1.978305e-01	0.000000e+00	5.237550e-03
0.000000e+00	2.000000e-01	2.132136e-01	1.480515e-02	0.000000e+00
2.000000e-01	4.000000e-01	2.022410e-01	3.237750e-03	0.000000e+00
4.000000e-01	6.000000e-01	2.043960e-01	2.330375e-02	0.000000e+00
6.000000e-01	8.000000e-01	2.207163e-01	1.136910e-02	0.000000e+00
8.000000e-01	1.000000e+00	2.183714e-01	0.000000e+00	6.480950e-03
1.000000e+00	1.200000e+00	2.339595e-01	0.000000e+00	2.162650e-03
1.200000e+00	1.400000e+00	2.452938e-01	3.049450e-03	3.839500e-03
1.400000e+00	1.600000e+00	2.593992e-01	4.836400e-03	4.415100e-03
1.600000e+00	1.800000e+00	2.780926e-01	7.406950e-03	0.000000e+00
1.800000e+00	2.000000e+00	2.967238e-01	8.505550e-03	0.000000e+00
2.000000e+00	2.200000e+00	2.995516e-01	4.576050e-03	2.876750e-03
2.200000e+00	2.400000e+00	3.074057e-01	2.513600e-03	5.427100e-03
2.400000e+00	2.600000e+00	3.166566e-01	6.863550e-03	7.110500e-04
2.600000e+00	2.800000e+00	3.120716e-01	4.571650e-03	5.887250e-03
2.800000e+00	3.000000e+00	3.038014e-01	3.229250e-03	9.685200e-03
3.000000e+00	3.200000e+00	2.909183e-01	3.693250e-03	2.860050e-03
3.200000e+00	3.400000e+00	2.681605e-01	7.524150e-03	0.000000e+00
3.400000e+00	3.600000e+00	2.365832e-01	3.197950e-03	0.000000e+00
3.600000e+00	3.800000e+00	1.967390e-01	4.379000e-04	7.835000e-04
3.800000e+00	4.000000e+00	1.569154e-01	9.800000e-04	8.472500e-04
4.000000e+00	4.200000e+00	1.159223e-01	0.000000e+00	5.401500e-04
4.200000e+00	4.400000e+00	7.651640e-02	0.000000e+00	3.688800e-03
4.400000e+00	4.600000e+00	2.857239e-02	5.767050e-04	4.767600e-04
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.828096e-02	3.316250e-04	4.727350e-04
-4.400000e+00	-4.200000e+00	7.997225e-02	1.010250e-03	9.276000e-04
-4.200000e+00	-4.000000e+00	1.165864e-01	1.128300e-03	0.000000e+00
-4.000000e+00	-3.800000e+00	1.562938e-01	8.325000e-04	2.827000e-04
-3.800000e+00	-3.600000e+00	1.973474e-01	1.926300e-03	0.000000e+00
-3.600000e+00	-3.400000e+00	2.343742e-01	3.487650e-03	1.574700e-03
-3.400000e+00	-3.200000e+00	2.667123e-01	2.573050e-03	1.283900e-03
-3.200000e+00	-3.000000e+00	2.900449e-01	5.309400e-03	4.018100e-03
-3.000000e+00	-2.800000e+00	3.063313e-01	6.112350e-03	2.431950e-03
-2.800000e+00	-2.600000e+00	3.134818e-01	6.006150e-03	4.429800e-03
-2.600000e+00	-2.400000e+00	3.144368e-01	6.340950e-03	4.422550e-03
-2.400000e+00	-2.200000e+00	3.197056e-01	1.358890e-02	0.000000e+00
-2.200000e+00	-2.000000e+00	2.988524e-01	2.762600e-03	6.096000e-03
-2.000000e+00	-1.800000e+00	2.873256e-01	4.178050e-03	4.293500e-03
-1.800000e+00	-1.600000e+00	2.725688e-01	4.916800e-03	4.577450e-03
-1.600000e+00	-1.400000e+00	2.594899e-01	5.458950e-03	3.599850e-03
-1.400000e+00	-1.200000e+00	2.436992e-01	1.962100e-03	4.235950e-03
-1.200000e+00	-1.000000e+00	2.317850e-01	1.844900e-03	2.803250e-03
-1.000000e+00	-8.000000e-01	2.212166e-01	3.395450e-03	2.319000e-03
