# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass
XLabel=$m_{h,j_1j_2}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta m_{h,j_1j_2}$ (fb/GeV)
XMin=700.0
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/H_dijet_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	1.056930e-11
1.600000e+02	1.800000e+02	9.714415e-07	0.000000e+00	1.835850e-07
1.800000e+02	2.000000e+02	3.531562e-04	3.359700e-06	3.590950e-05
2.000000e+02	2.200000e+02	2.869075e-03	1.384035e-04	8.243450e-05
2.200000e+02	2.400000e+02	5.014665e-03	1.425330e-04	3.469050e-04
2.400000e+02	2.600000e+02	5.625050e-03	1.069400e-04	1.911200e-04
2.600000e+02	2.800000e+02	5.655135e-03	0.000000e+00	9.094000e-05
2.800000e+02	3.000000e+02	5.485605e-03	2.210000e-06	1.083450e-04
3.000000e+02	3.200000e+02	5.311550e-03	3.765500e-05	0.000000e+00
3.200000e+02	3.400000e+02	5.126495e-03	1.087250e-04	0.000000e+00
3.400000e+02	3.600000e+02	4.748861e-03	1.420500e-05	9.505000e-06
3.600000e+02	3.800000e+02	4.446915e-03	0.000000e+00	5.806800e-05
3.800000e+02	4.000000e+02	4.311408e-03	8.473500e-06	1.479600e-05
4.000000e+02	4.200000e+02	4.066675e-03	7.542650e-05	7.787550e-05
4.200000e+02	4.400000e+02	3.858460e-03	0.000000e+00	2.667550e-05
4.400000e+02	4.600000e+02	3.650284e-03	0.000000e+00	7.453150e-05
4.600000e+02	4.800000e+02	3.456646e-03	0.000000e+00	7.216250e-05
4.800000e+02	5.000000e+02	3.291322e-03	0.000000e+00	5.705150e-05
5.000000e+02	5.200000e+02	3.188894e-03	0.000000e+00	4.083250e-05
5.200000e+02	5.400000e+02	3.045460e-03	1.157000e-05	0.000000e+00
5.400000e+02	5.600000e+02	2.962956e-03	4.943200e-05	0.000000e+00
5.600000e+02	5.800000e+02	2.785221e-03	0.000000e+00	7.796200e-05
5.800000e+02	6.000000e+02	2.716115e-03	6.329500e-06	4.371800e-05
6.000000e+02	6.200000e+02	2.650578e-03	2.182800e-05	9.053250e-05
6.200000e+02	6.400000e+02	2.528202e-03	3.377500e-06	1.422600e-05
6.400000e+02	6.600000e+02	2.455185e-03	6.231000e-06	7.716500e-06
6.600000e+02	6.800000e+02	2.362878e-03	9.991850e-05	7.485000e-06
6.800000e+02	7.000000e+02	2.305598e-03	4.088150e-05	0.000000e+00
7.000000e+02	7.200000e+02	2.237316e-03	2.566500e-06	9.074250e-05
7.200000e+02	7.400000e+02	2.159689e-03	3.172600e-05	0.000000e+00
7.400000e+02	7.600000e+02	2.107058e-03	9.051000e-06	0.000000e+00
7.600000e+02	7.800000e+02	2.013919e-03	5.428300e-05	0.000000e+00
7.800000e+02	8.000000e+02	2.009256e-03	7.657600e-05	0.000000e+00
8.000000e+02	8.200000e+02	1.953129e-03	1.063740e-04	0.000000e+00
8.200000e+02	8.400000e+02	1.850310e-03	4.858050e-05	0.000000e+00
8.400000e+02	8.600000e+02	1.788320e-03	3.150750e-05	0.000000e+00
8.600000e+02	8.800000e+02	1.689625e-03	0.000000e+00	2.723600e-05
8.800000e+02	9.000000e+02	1.647766e-03	0.000000e+00	4.000300e-05
9.000000e+02	9.200000e+02	1.600955e-03	0.000000e+00	2.695350e-05
9.200000e+02	9.400000e+02	1.549381e-03	3.218000e-06	1.187600e-05
9.400000e+02	9.600000e+02	1.515315e-03	1.292900e-05	0.000000e+00
9.600000e+02	9.800000e+02	1.492107e-03	2.456850e-05	0.000000e+00
9.800000e+02	1.000000e+03	1.397073e-03	1.077750e-05	1.127350e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H_dijet_mass
RatioPlotSameStyle=1
