# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/jet1_mass
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/jet1_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/jet1_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.616160e-01	1.432291e-01	3.074003e-01
1.000000e+00	2.000000e+00	6.853192e-02	2.005907e-02	4.790258e-02
2.000000e+00	3.000000e+00	3.617126e-02	1.014883e-02	5.469080e-03
3.000000e+00	4.000000e+00	1.104849e-01	2.913077e-02	7.540200e-03
4.000000e+00	5.000000e+00	1.314744e-01	2.695460e-02	7.347200e-03
5.000000e+00	6.000000e+00	1.449244e-01	2.341540e-02	2.619700e-03
6.000000e+00	7.000000e+00	1.577696e-01	1.955860e-02	0.000000e+00
7.000000e+00	8.000000e+00	1.661447e-01	1.335840e-02	0.000000e+00
8.000000e+00	9.000000e+00	1.690975e-01	1.028950e-02	0.000000e+00
9.000000e+00	1.000000e+01	1.656802e-01	1.459030e-02	0.000000e+00
1.000000e+01	1.100000e+01	1.583489e-01	1.842100e-02	1.660000e-03
1.100000e+01	1.200000e+01	1.473281e-01	1.849300e-02	7.109900e-03
1.200000e+01	1.300000e+01	1.373913e-01	2.184870e-02	8.308000e-03
1.300000e+01	1.400000e+01	1.230733e-01	1.917230e-02	1.167300e-02
1.400000e+01	1.500000e+01	1.129847e-01	1.972070e-02	1.226950e-02
1.500000e+01	1.600000e+01	1.007890e-01	1.818202e-02	1.431520e-02
1.600000e+01	1.700000e+01	9.049156e-02	1.675461e-02	1.418764e-02
1.700000e+01	1.800000e+01	8.395734e-02	1.611236e-02	1.406279e-02
1.800000e+01	1.900000e+01	7.399572e-02	1.508372e-02	1.270126e-02
1.900000e+01	2.000000e+01	6.598219e-02	1.341277e-02	1.428753e-02
2.000000e+01	2.100000e+01	6.009487e-02	1.237224e-02	1.368108e-02
2.100000e+01	2.200000e+01	5.488816e-02	1.255207e-02	1.196449e-02
2.200000e+01	2.300000e+01	4.918749e-02	1.114541e-02	1.069408e-02
2.300000e+01	2.400000e+01	4.407776e-02	1.035208e-02	1.042237e-02
2.400000e+01	2.500000e+01	3.972116e-02	9.018690e-03	8.378080e-03
2.500000e+01	2.600000e+01	3.590861e-02	8.622230e-03	8.959780e-03
2.600000e+01	2.700000e+01	3.247869e-02	7.501470e-03	8.095370e-03
2.700000e+01	2.800000e+01	2.934458e-02	7.208230e-03	8.227820e-03
2.800000e+01	2.900000e+01	2.607121e-02	5.446970e-03	7.347300e-03
2.900000e+01	3.000000e+01	2.394052e-02	5.613560e-03	6.830510e-03
3.000000e+01	3.100000e+01	2.144149e-02	5.504860e-03	5.916050e-03
3.100000e+01	3.200000e+01	1.990694e-02	4.899310e-03	7.308890e-03
3.200000e+01	3.300000e+01	1.843467e-02	4.804440e-03	4.456540e-03
3.300000e+01	3.400000e+01	1.663431e-02	4.383520e-03	4.102240e-03
3.400000e+01	3.500000e+01	1.486152e-02	4.234640e-03	4.626980e-03
3.500000e+01	3.600000e+01	1.319960e-02	3.284108e-03	6.831500e-04
3.600000e+01	3.700000e+01	1.195647e-02	2.759561e-03	4.058510e-03
3.700000e+01	3.800000e+01	1.117527e-02	3.508252e-03	2.799600e-03
3.800000e+01	3.900000e+01	9.765807e-03	2.292576e-03	3.710813e-03
3.900000e+01	4.000000e+01	9.603917e-03	2.976689e-03	2.276163e-03
4.000000e+01	4.100000e+01	8.363283e-03	2.215253e-03	2.653527e-03
4.100000e+01	4.200000e+01	7.999117e-03	2.531616e-03	1.979104e-03
4.200000e+01	4.300000e+01	6.930979e-03	3.281778e-03	2.108798e-03
4.300000e+01	4.400000e+01	6.543492e-03	1.970158e-03	1.753160e-03
4.400000e+01	4.500000e+01	5.481680e-03	8.800450e-04	2.735843e-03
4.500000e+01	4.600000e+01	5.154717e-03	1.178543e-03	1.926948e-03
4.600000e+01	4.700000e+01	4.792887e-03	1.453464e-03	1.234767e-03
4.700000e+01	4.800000e+01	4.359707e-03	1.052104e-03	1.787884e-03
4.800000e+01	4.900000e+01	4.166985e-03	1.179565e-03	1.585692e-03
4.900000e+01	5.000000e+01	3.739646e-03	9.086400e-04	1.174274e-03
5.000000e+01	5.100000e+01	3.467711e-03	8.645760e-04	9.671610e-04
5.100000e+01	5.200000e+01	3.182640e-03	8.275080e-04	8.613860e-04
5.200000e+01	5.300000e+01	2.947327e-03	6.728750e-04	9.284010e-04
5.300000e+01	5.400000e+01	3.096274e-03	1.029373e-03	6.740910e-04
5.400000e+01	5.500000e+01	2.703796e-03	7.370620e-04	6.903840e-04
