# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet3_mass
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_3}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.051831e-01	3.973440e-02	8.144500e-02
1.000000e+00	2.000000e+00	5.091255e-02	4.788390e-03	7.746130e-03
2.000000e+00	3.000000e+00	3.628002e-02	4.661690e-03	1.643500e-04
3.000000e+00	4.000000e+00	1.030345e-01	1.330861e-02	0.000000e+00
4.000000e+00	5.000000e+00	1.193688e-01	1.672190e-02	7.319000e-03
5.000000e+00	6.000000e+00	9.331581e-02	2.009340e-02	1.321419e-02
6.000000e+00	7.000000e+00	6.468122e-02	1.716092e-02	1.119139e-02
7.000000e+00	8.000000e+00	4.305934e-02	1.319071e-02	8.011950e-03
8.000000e+00	9.000000e+00	2.666817e-02	8.021320e-03	3.147860e-03
9.000000e+00	1.000000e+01	1.762343e-02	5.549650e-03	4.776500e-03
1.000000e+01	1.100000e+01	1.254621e-02	3.734211e-03	3.949770e-03
1.100000e+01	1.200000e+01	9.477090e-03	3.369256e-03	3.039680e-03
1.200000e+01	1.300000e+01	7.079011e-03	2.145052e-03	2.410771e-03
1.300000e+01	1.400000e+01	5.865884e-03	2.253407e-03	1.991950e-03
1.400000e+01	1.500000e+01	4.447526e-03	1.729968e-03	1.422532e-03
1.500000e+01	1.600000e+01	3.499485e-03	1.284348e-03	6.752930e-04
1.600000e+01	1.700000e+01	2.658404e-03	1.001285e-03	8.314540e-04
1.700000e+01	1.800000e+01	2.132199e-03	9.207790e-04	9.263130e-04
1.800000e+01	1.900000e+01	1.449155e-03	4.538322e-04	8.890130e-04
1.900000e+01	2.000000e+01	1.198028e-03	5.535587e-04	4.269910e-04
2.000000e+01	2.100000e+01	9.944633e-04	5.121441e-04	2.724577e-04
2.100000e+01	2.200000e+01	7.343389e-04	3.089004e-04	1.987217e-04
2.200000e+01	2.300000e+01	5.377259e-04	2.398780e-04	2.206343e-04
2.300000e+01	2.400000e+01	4.491450e-04	2.622280e-04	2.323710e-04
2.400000e+01	2.500000e+01	3.178143e-04	1.588043e-04	1.778929e-04
2.500000e+01	2.600000e+01	2.508872e-04	1.037530e-04	1.319302e-04
2.600000e+01	2.700000e+01	1.806680e-04	8.026310e-05	1.021102e-04
2.700000e+01	2.800000e+01	1.487004e-04	6.264779e-05	6.495330e-05
2.800000e+01	2.900000e+01	1.360535e-04	7.426515e-05	5.200550e-05
2.900000e+01	3.000000e+01	1.126095e-04	6.550966e-05	3.943280e-05
3.000000e+01	3.100000e+01	9.813269e-05	5.979806e-05	6.096551e-05
3.100000e+01	3.200000e+01	6.763783e-05	3.010073e-05	2.706088e-05
3.200000e+01	3.300000e+01	4.453996e-05	2.468099e-05	4.281122e-05
3.300000e+01	3.400000e+01	3.791222e-05	3.025817e-05	3.697465e-05
3.400000e+01	3.500000e+01	3.015966e-05	5.416950e-06	1.651609e-05
3.500000e+01	3.600000e+01	2.894301e-05	1.348812e-05	1.681178e-05
3.600000e+01	3.700000e+01	1.977366e-05	9.876665e-06	1.560484e-05
3.700000e+01	3.800000e+01	1.236150e-05	1.911920e-06	1.365037e-05
3.800000e+01	3.900000e+01	2.116903e-05	1.411161e-05	9.780150e-06
3.900000e+01	4.000000e+01	1.067006e-05	5.577954e-06	1.581016e-05
4.000000e+01	4.100000e+01	1.239658e-05	5.590037e-06	9.327340e-06
4.100000e+01	4.200000e+01	8.704088e-06	3.664105e-06	5.059352e-06
4.200000e+01	4.300000e+01	7.373849e-06	3.939847e-06	3.027961e-06
4.300000e+01	4.400000e+01	7.938297e-06	1.025197e-05	4.194133e-06
4.400000e+01	4.500000e+01	6.781843e-06	3.957286e-06	3.839327e-06
4.500000e+01	4.600000e+01	3.333691e-06	1.064487e-06	4.212904e-06
4.600000e+01	4.700000e+01	6.976386e-06	4.674330e-06	1.266051e-06
4.700000e+01	4.800000e+01	3.796873e-06	1.416954e-06	3.111099e-06
4.800000e+01	4.900000e+01	2.623884e-06	2.019867e-06	3.308258e-06
4.900000e+01	5.000000e+01	3.683292e-06	2.015507e-06	1.861079e-06
5.000000e+01	5.100000e+01	3.165441e-06	1.967740e-06	2.078019e-06
