# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j1j4_mass
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	2.941615e-04	1.338950e-05	3.379100e-05
4.000000e+01	8.000000e+01	9.852560e-04	1.158432e-04	1.259555e-04
8.000000e+01	1.200000e+02	1.067599e-03	8.373050e-05	9.379675e-05
1.200000e+02	1.600000e+02	7.778378e-04	9.813425e-05	7.221375e-05
1.600000e+02	2.000000e+02	5.356505e-04	3.182525e-05	4.381300e-05
2.000000e+02	2.400000e+02	3.693472e-04	4.233575e-05	2.580475e-05
2.400000e+02	2.800000e+02	2.698442e-04	4.223415e-05	3.443075e-05
2.800000e+02	3.200000e+02	2.459337e-04	6.301475e-05	0.000000e+00
3.200000e+02	3.600000e+02	1.653752e-04	1.890798e-05	2.433127e-05
3.600000e+02	4.000000e+02	1.408594e-04	2.260055e-05	1.311593e-05
4.000000e+02	4.400000e+02	1.117431e-04	1.155820e-05	1.157123e-05
4.400000e+02	4.800000e+02	9.371415e-05	7.805200e-06	1.563355e-05
4.800000e+02	5.200000e+02	8.121825e-05	9.000100e-06	1.248243e-05
5.200000e+02	5.600000e+02	6.918563e-05	5.842725e-06	7.215300e-06
5.600000e+02	6.000000e+02	6.109475e-05	8.595875e-06	8.681750e-06
6.000000e+02	6.400000e+02	5.537645e-05	7.915800e-06	6.336775e-06
6.400000e+02	6.800000e+02	5.016957e-05	1.063490e-05	6.802700e-06
6.800000e+02	7.200000e+02	4.143372e-05	4.838125e-06	3.134100e-06
7.200000e+02	7.600000e+02	4.082695e-05	8.094450e-06	0.000000e+00
7.600000e+02	8.000000e+02	3.342318e-05	3.165475e-06	4.663325e-06
8.000000e+02	8.400000e+02	2.982740e-05	2.035675e-06	0.000000e+00
8.400000e+02	8.800000e+02	2.909240e-05	2.954125e-06	0.000000e+00
8.800000e+02	9.200000e+02	2.371954e-05	3.104808e-06	4.547590e-06
9.200000e+02	9.600000e+02	2.086974e-05	2.671448e-06	1.862825e-06
9.600000e+02	1.000000e+03	1.805659e-05	2.748450e-07	3.369823e-06
1.000000e+03	1.040000e+03	1.853029e-05	2.585590e-06	1.610325e-06
1.040000e+03	1.080000e+03	1.535923e-05	9.525400e-07	3.925917e-06
1.080000e+03	1.120000e+03	1.381621e-05	0.000000e+00	3.228437e-06
1.120000e+03	1.160000e+03	1.359137e-05	7.006150e-07	6.193350e-07
1.160000e+03	1.200000e+03	8.369383e-06	0.000000e+00	4.505440e-06
1.200000e+03	1.240000e+03	1.128197e-05	1.375830e-06	2.105027e-06
1.240000e+03	1.280000e+03	9.512245e-06	8.159500e-08	2.746020e-06
1.280000e+03	1.320000e+03	8.471947e-06	6.298350e-07	2.130883e-06
1.320000e+03	1.360000e+03	8.116498e-06	1.333165e-06	2.653250e-08
1.360000e+03	1.400000e+03	7.995157e-06	1.316530e-06	5.994000e-07
1.400000e+03	1.440000e+03	7.001102e-06	7.103775e-07	1.404675e-07
1.440000e+03	1.480000e+03	6.049038e-06	6.625275e-07	4.207575e-07
1.480000e+03	1.520000e+03	5.507007e-06	0.000000e+00	4.279800e-07
1.520000e+03	1.560000e+03	5.160405e-06	1.695125e-07	1.587620e-06
1.560000e+03	1.600000e+03	5.203498e-06	1.124795e-06	0.000000e+00
1.600000e+03	1.640000e+03	4.225850e-06	6.271325e-07	1.074837e-06
1.640000e+03	1.680000e+03	4.120598e-06	2.371000e-07	0.000000e+00
1.680000e+03	1.720000e+03	3.712632e-06	1.866200e-07	6.869300e-07
1.720000e+03	1.760000e+03	3.284700e-06	0.000000e+00	1.383852e-06
1.760000e+03	1.800000e+03	3.117593e-06	8.567908e-07	1.622180e-06
1.800000e+03	1.840000e+03	3.290510e-06	4.766625e-07	1.243905e-06
1.840000e+03	1.880000e+03	2.672475e-06	2.210705e-07	0.000000e+00
1.880000e+03	1.920000e+03	2.665398e-06	1.350700e-06	0.000000e+00
1.920000e+03	1.960000e+03	1.909726e-06	0.000000e+00	9.606310e-07
1.960000e+03	2.000000e+03	2.185946e-06	5.758570e-07	1.590124e-06
2.000000e+03	2.040000e+03	2.427324e-06	4.739750e-07	0.000000e+00
2.040000e+03	2.080000e+03	1.368295e-06	0.000000e+00	1.837215e-07
