# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1}$ (GeV) 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet1_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.787661e-01	1.169036e-01	2.287569e-01
1.000000e+00	2.000000e+00	5.326982e-02	1.272684e-02	2.378554e-02
2.000000e+00	3.000000e+00	3.992620e-02	7.910690e-03	3.861200e-04
3.000000e+00	4.000000e+00	1.126249e-01	1.997787e-02	0.000000e+00
4.000000e+00	5.000000e+00	1.293361e-01	1.419510e-02	0.000000e+00
5.000000e+00	6.000000e+00	1.331155e-01	1.016130e-02	0.000000e+00
6.000000e+00	7.000000e+00	1.323168e-01	1.591320e-02	0.000000e+00
7.000000e+00	8.000000e+00	1.202043e-01	1.595060e-02	1.288400e-03
8.000000e+00	9.000000e+00	1.054411e-01	1.512000e-02	4.174600e-03
9.000000e+00	1.000000e+01	9.176814e-02	1.589710e-02	6.352920e-03
1.000000e+01	1.100000e+01	7.695611e-02	1.376311e-02	8.526710e-03
1.100000e+01	1.200000e+01	6.529114e-02	1.304463e-02	8.945250e-03
1.200000e+01	1.300000e+01	5.391515e-02	1.071049e-02	1.063267e-02
1.300000e+01	1.400000e+01	4.668406e-02	1.064080e-02	6.427760e-03
1.400000e+01	1.500000e+01	3.808225e-02	7.684730e-03	6.808450e-03
1.500000e+01	1.600000e+01	3.156934e-02	6.481780e-03	3.859910e-03
1.600000e+01	1.700000e+01	2.711127e-02	6.277470e-03	5.652740e-03
1.700000e+01	1.800000e+01	2.529332e-02	7.514820e-03	2.632680e-03
1.800000e+01	1.900000e+01	1.939362e-02	3.761140e-03	4.924530e-03
1.900000e+01	2.000000e+01	1.657477e-02	3.713050e-03	6.123170e-03
2.000000e+01	2.100000e+01	1.463927e-02	4.281440e-03	3.175260e-03
2.100000e+01	2.200000e+01	1.250575e-02	3.375414e-03	3.448450e-03
2.200000e+01	2.300000e+01	1.094452e-02	2.811045e-03	1.958910e-03
2.300000e+01	2.400000e+01	9.615419e-03	2.522408e-03	1.818431e-03
2.400000e+01	2.500000e+01	8.146146e-03	2.146885e-03	1.800543e-03
2.500000e+01	2.600000e+01	7.021834e-03	2.015358e-03	1.759642e-03
2.600000e+01	2.700000e+01	6.075405e-03	1.586754e-03	1.514913e-03
2.700000e+01	2.800000e+01	5.143644e-03	1.298573e-03	2.073438e-03
2.800000e+01	2.900000e+01	4.676687e-03	1.196745e-03	1.204126e-03
2.900000e+01	3.000000e+01	4.177896e-03	1.211554e-03	1.037635e-03
3.000000e+01	3.100000e+01	3.566722e-03	9.463030e-04	8.772060e-04
3.100000e+01	3.200000e+01	3.224430e-03	9.369190e-04	8.214500e-04
3.200000e+01	3.300000e+01	2.964638e-03	9.436430e-04	3.952520e-04
3.300000e+01	3.400000e+01	2.475173e-03	5.968980e-04	6.299220e-04
3.400000e+01	3.500000e+01	2.064994e-03	5.696230e-04	6.225930e-04
3.500000e+01	3.600000e+01	1.793310e-03	4.844330e-04	1.041764e-03
3.600000e+01	3.700000e+01	1.684594e-03	4.617510e-04	2.108460e-04
3.700000e+01	3.800000e+01	1.635064e-03	6.425881e-04	1.976250e-04
3.800000e+01	3.900000e+01	1.283427e-03	3.943209e-04	3.253650e-04
3.900000e+01	4.000000e+01	1.050197e-03	3.355095e-04	3.737900e-04
4.000000e+01	4.100000e+01	9.143104e-04	1.994177e-04	3.169476e-04
4.100000e+01	4.200000e+01	9.517778e-04	5.430942e-04	1.698382e-04
4.200000e+01	4.300000e+01	7.246194e-04	1.572962e-04	3.658326e-04
4.300000e+01	4.400000e+01	7.329873e-04	1.954871e-04	4.983380e-05
4.400000e+01	4.500000e+01	5.866101e-04	1.085212e-04	2.303936e-04
4.500000e+01	4.600000e+01	5.722976e-04	2.069962e-04	1.002796e-04
4.600000e+01	4.700000e+01	4.024209e-04	1.918750e-05	1.159409e-04
4.700000e+01	4.800000e+01	4.708192e-04	1.353000e-04	5.688180e-05
4.800000e+01	4.900000e+01	2.796061e-04	0.000000e+00	2.509138e-04
4.900000e+01	5.000000e+01	3.775448e-04	9.314860e-05	6.801170e-05
5.000000e+01	5.100000e+01	2.792643e-04	0.000000e+00	1.894078e-04
5.100000e+01	5.200000e+01	2.877619e-04	6.005380e-05	1.335763e-04
5.200000e+01	5.300000e+01	2.692142e-04	4.993210e-05	1.623249e-04
5.300000e+01	5.400000e+01	2.649390e-04	6.004540e-05	0.000000e+00
5.400000e+01	5.500000e+01	2.324754e-04	7.516450e-05	4.913940e-05
5.500000e+01	5.600000e+01	2.042953e-04	2.652600e-05	8.758820e-05
5.600000e+01	5.700000e+01	2.003323e-04	6.000790e-05	1.787470e-05
