# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass
XLabel=$m_{j_1j_2j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j2j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.200000e+02	5.079060e-07	1.363157e-07	1.193250e-08
2.200000e+02	2.400000e+02	2.837801e-05	0.000000e+00	8.978415e-06
2.400000e+02	2.600000e+02	9.000290e-05	1.298195e-05	7.915000e-06
2.600000e+02	2.800000e+02	1.341883e-04	1.091300e-05	9.173050e-06
2.800000e+02	3.000000e+02	1.399331e-04	1.516750e-06	3.291455e-05
3.000000e+02	3.200000e+02	1.741550e-04	3.411905e-05	0.000000e+00
3.200000e+02	3.400000e+02	1.495665e-04	6.845050e-06	1.652820e-05
3.400000e+02	3.600000e+02	1.505511e-04	1.482785e-05	1.757260e-05
3.600000e+02	3.800000e+02	1.483619e-04	1.957010e-05	1.679825e-05
3.800000e+02	4.000000e+02	1.443771e-04	1.668255e-05	1.668615e-05
4.000000e+02	4.200000e+02	2.448229e-04	1.091248e-04	0.000000e+00
4.200000e+02	4.400000e+02	1.303749e-04	8.194750e-06	3.195980e-05
4.400000e+02	4.600000e+02	1.371194e-04	1.406915e-05	1.137990e-05
4.600000e+02	4.800000e+02	1.233027e-04	2.080140e-05	4.942300e-06
4.800000e+02	5.000000e+02	1.145327e-04	8.930450e-06	1.572860e-05
5.000000e+02	5.200000e+02	1.161013e-04	1.635580e-05	1.127475e-05
5.200000e+02	5.400000e+02	1.172593e-04	2.058275e-05	0.000000e+00
5.400000e+02	5.600000e+02	1.138215e-04	2.340580e-05	5.107860e-05
5.600000e+02	5.800000e+02	1.007873e-04	1.870700e-06	1.786540e-05
5.800000e+02	6.000000e+02	9.645485e-05	1.138615e-05	1.335360e-05
6.000000e+02	6.200000e+02	8.838960e-05	5.416550e-06	2.268645e-05
6.200000e+02	6.400000e+02	8.777670e-05	8.492050e-06	0.000000e+00
6.400000e+02	6.600000e+02	9.099945e-05	1.515225e-05	5.396000e-06
6.600000e+02	6.800000e+02	8.428110e-05	1.355400e-05	1.951455e-05
6.800000e+02	7.000000e+02	7.789195e-05	1.047125e-05	1.094475e-05
7.000000e+02	7.200000e+02	7.491310e-05	1.057165e-05	5.792100e-06
7.200000e+02	7.400000e+02	7.196670e-05	9.098400e-06	1.356550e-06
7.400000e+02	7.600000e+02	7.180045e-05	1.445850e-05	6.746950e-06
7.600000e+02	7.800000e+02	7.185435e-05	1.076830e-05	8.882000e-06
7.800000e+02	8.000000e+02	6.268925e-05	6.350150e-06	6.726950e-06
8.000000e+02	8.200000e+02	6.048640e-05	3.349650e-06	1.814950e-05
8.200000e+02	8.400000e+02	5.968785e-05	5.474700e-06	8.200900e-06
8.400000e+02	8.600000e+02	5.350295e-05	0.000000e+00	1.107900e-05
8.600000e+02	8.800000e+02	5.504695e-05	1.948800e-06	4.314750e-06
8.800000e+02	9.000000e+02	4.780453e-05	0.000000e+00	1.302407e-05
9.000000e+02	9.200000e+02	5.535030e-05	8.027890e-06	4.967550e-06
9.200000e+02	9.400000e+02	5.085085e-05	4.242845e-06	4.865050e-06
9.400000e+02	9.600000e+02	4.887627e-05	6.619375e-06	3.540535e-06
9.600000e+02	9.800000e+02	4.648189e-05	4.589330e-06	0.000000e+00
9.800000e+02	1.000000e+03	5.189900e-05	1.218988e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j1j2j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
