# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass
XLabel=$m_{j_3j_4}$ (GeV)
LegendAlign=r
XMax=1000
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	3.201015e-04	2.139075e-05	5.715500e-05
4.000000e+01	8.000000e+01	6.397412e-04	7.018200e-05	1.090790e-04
8.000000e+01	1.200000e+02	4.483588e-04	4.384350e-05	3.801925e-05
1.200000e+02	1.600000e+02	2.520953e-04	3.753565e-05	1.302600e-05
1.600000e+02	2.000000e+02	1.485928e-04	1.153222e-05	1.737503e-05
2.000000e+02	2.400000e+02	1.176426e-04	1.887717e-05	0.000000e+00
2.400000e+02	2.800000e+02	8.430318e-05	1.112983e-05	1.032665e-05
2.800000e+02	3.200000e+02	6.400953e-05	3.821450e-06	6.920525e-06
3.200000e+02	3.600000e+02	5.660267e-05	0.000000e+00	8.457050e-06
3.600000e+02	4.000000e+02	4.541340e-05	4.623575e-06	9.384575e-06
4.000000e+02	4.400000e+02	3.852510e-05	3.842350e-06	4.445125e-06
4.400000e+02	4.800000e+02	3.380640e-05	1.560250e-06	5.516650e-06
4.800000e+02	5.200000e+02	2.871440e-05	3.003100e-06	9.943075e-06
5.200000e+02	5.600000e+02	2.352252e-05	1.047343e-06	4.594235e-06
5.600000e+02	6.000000e+02	2.338867e-05	5.573102e-06	2.685280e-06
6.000000e+02	6.400000e+02	1.927520e-05	2.180927e-06	0.000000e+00
6.400000e+02	6.800000e+02	1.782842e-05	2.274698e-06	0.000000e+00
6.800000e+02	7.200000e+02	1.481633e-05	1.891943e-06	1.363475e-07
7.200000e+02	7.600000e+02	1.214269e-05	6.923775e-07	3.437523e-06
7.600000e+02	8.000000e+02	1.043270e-05	3.036450e-07	2.043555e-06
8.000000e+02	8.400000e+02	9.940970e-06	0.000000e+00	1.602375e-06
8.400000e+02	8.800000e+02	8.034840e-06	5.274750e-07	2.105338e-06
8.800000e+02	9.200000e+02	5.338022e-05	4.736539e-05	0.000000e+00
9.200000e+02	9.600000e+02	6.915005e-06	5.539075e-07	1.120987e-06
9.600000e+02	1.000000e+03	7.064825e-06	1.873450e-06	0.000000e+00
1.000000e+03	1.040000e+03	5.733250e-06	7.066425e-07	1.755358e-06
1.040000e+03	1.080000e+03	4.716990e-06	1.598465e-06	0.000000e+00
1.080000e+03	1.120000e+03	4.145435e-06	0.000000e+00	6.090525e-07
1.120000e+03	1.160000e+03	2.816168e-06	7.702723e-07	1.346447e-06
1.160000e+03	1.200000e+03	4.365800e-06	1.542807e-06	0.000000e+00
1.200000e+03	1.240000e+03	3.002580e-06	6.755302e-07	0.000000e+00
1.240000e+03	1.280000e+03	2.744118e-06	7.534093e-07	3.133500e-08
1.280000e+03	1.320000e+03	2.478361e-06	0.000000e+00	1.157091e-06
1.320000e+03	1.360000e+03	2.482547e-06	7.018870e-07	0.000000e+00
1.360000e+03	1.400000e+03	1.504696e-06	0.000000e+00	1.322449e-06
1.400000e+03	1.440000e+03	1.834333e-06	0.000000e+00	3.060037e-07
1.440000e+03	1.480000e+03	1.278060e-06	0.000000e+00	4.318453e-07
1.480000e+03	1.520000e+03	1.360293e-06	3.110125e-08	1.245082e-07
1.520000e+03	1.560000e+03	1.412452e-06	2.307860e-07	0.000000e+00
1.560000e+03	1.600000e+03	1.033473e-06	0.000000e+00	2.426878e-07
1.600000e+03	1.640000e+03	1.031507e-06	8.819500e-09	3.466933e-07
1.640000e+03	1.680000e+03	1.261958e-06	4.331738e-07	0.000000e+00
1.680000e+03	1.720000e+03	9.063467e-07	1.138747e-07	2.608125e-08
1.720000e+03	1.760000e+03	7.691845e-07	8.317425e-08	1.286115e-07
1.760000e+03	1.800000e+03	7.448693e-07	5.225975e-08	0.000000e+00
1.800000e+03	1.840000e+03	4.515333e-07	0.000000e+00	1.280545e-07
1.840000e+03	1.880000e+03	1.176227e-06	6.479458e-07	0.000000e+00
1.880000e+03	1.920000e+03	5.618135e-07	6.805025e-08	0.000000e+00
1.920000e+03	1.960000e+03	4.875560e-07	1.005483e-07	1.847807e-07
1.960000e+03	2.000000e+03	4.337498e-07	1.676097e-07	2.198825e-08
2.000000e+03	2.040000e+03	3.955348e-07	8.975250e-09	7.837950e-08
2.040000e+03	2.080000e+03	2.544543e-07	0.000000e+00	1.748987e-07
2.080000e+03	2.120000e+03	4.192192e-07	1.319140e-07	0.000000e+00
2.120000e+03	2.160000e+03	1.665245e-06	1.649682e-06	0.000000e+00
2.160000e+03	2.200000e+03	4.105475e-07	1.940016e-07	1.814850e-08
2.200000e+03	2.240000e+03	3.077635e-07	1.349825e-06	0.000000e+00
2.240000e+03	2.280000e+03	1.973923e-07	6.177050e-08	5.278167e-08
2.280000e+03	2.320000e+03	1.243723e-07	0.000000e+00	7.838200e-08
